B  j       T                        u                         U            12L3Euablce  O
P 45      12559.53205      12559.07026     461.794    0006e-0000e  456
P 44      12561.86725      12561.64170     225.553    0006e-0000e  456
P 42      12566.72565      12566.67357      52.075    0006e-0000e  456
P 40      12571.56775      12571.55566      12.085    0006e-0000e  456
P 39      12573.94515      12573.93994       5.210    0006e-0000e  456
P 38      12576.28775      12576.28608       1.665     0006e-0000e  456 
P 37      12578.59465      12578.59390       0.745     0006e-0000e  456 
P 36      12580.86285      12580.86322      -0.372     0006e-0000e  456 
P 35      12583.09205      12583.09387      -1.823     0006e-0000e  456 
P 34      12585.28475      12585.28571      -0.957     0006e-0000e  456 
P 33      12587.43985      12587.43859       1.264     0006e-0000e  456 
P 32      12589.55235      12589.55238      -0.034     0006e-0000e  456 
P 31      12591.62750      12591.62699       0.511     0006e-0000e  456 
P 30      12593.66268      12593.66229       0.386     0006e-0000e  456 
P 29      12595.65853      12595.65821       0.323     0006e-0000e  456 
P 28      12597.61595      12597.61464       1.307     0006e-0000e  456 
P 27      12599.53172      12599.53153       0.193     0006e-0000e  456 
P 26      12601.40860      12601.40879      -0.189     0006e-0000e  456 
P 25      12603.24677      12603.24637       0.401     0006e-0000e  456 
P 24      12605.04581      12605.04421       1.596     0006e-0000e  456 
P 23      12606.80233      12606.80228       0.054     0006e-0000e  456 
P 22      12608.52088      12608.52051       0.366     0006e-0000e  456 
P 21      12610.19825      12610.19889      -0.640     0006e-0000e  456 
P 20      12611.83825      12611.83737       0.877     0006e-0000e  456 
P 19      12613.43665      12613.43594       0.714     0006e-0000e  456 
P 18      12614.99365      12614.99455      -0.905     0006e-0000e  456 
P 17      12616.51215      12616.51321      -1.059     0006e-0000e  456 
P 16      12617.99195      12617.99188       0.067     0006e-0000e  456 
P 15      12619.43045      12619.43056      -0.111     0006e-0000e  456 
P 14      12620.82915      12620.82923      -0.082     0006e-0000e  456 
P 13      12622.18785      12622.18789      -0.036     0006e-0000e  456 
P 12      12623.50655      12623.50651       0.037     0006e-0000e  456 
P 11      12624.78585      12624.78511       0.742     0006e-0000e  456 
P 10      12626.02375      12626.02366       0.086     0006e-0000e  456 
P  9      12627.22235      12627.22218       0.173     0006e-0000e  456 
P  8      12628.38105      12628.38064       0.407     0006e-0000e  456 
P  7      12629.50065      12629.49906       1.593     0006e-0000e  456 
P  6      12630.57685      12630.57742      -0.567     0006e-0000e  456 
P  5      12631.61555      12631.61572      -0.169     0006e-0000e  456 
P  4      12632.61345      12632.61396      -0.510     0006e-0000e  456 
P  3      12633.57205      12633.57214      -0.087     0006e-0000e  456 
P  2      12634.49085      12634.49025       0.604     0006e-0000e  456 
P  1      12635.36905      12635.36828       0.766     0006e-0000e  456 
R  0      12637.00375      12637.00413      -0.381     0006e-0000e  456 
R  1      12637.76255      12637.76193       0.620     0006e-0000e  456 
R  2      12638.48045      12638.47964       0.809     0006e-0000e  456 
R  3      12639.15795      12639.15726       0.692     0006e-0000e  456 
R  4      12639.79605      12639.79478       1.274     0006e-0000e  456 
R  5      12640.39215      12640.39219      -0.040     0006e-0000e  456 
R  6      12640.94895      12640.94949      -0.544     0006e-0000e  456 
R  7      12641.46535      12641.46668      -1.334     0006e-0000e  456 
R  8      12641.94255      12641.94375      -1.204     0006e-0000e  456 
R  9      12642.38015      12642.38070      -0.550     0006e-0000e  456 
R 10      12642.77635      12642.77752      -1.169     0006e-0000e  456 
R 11      12643.13365      12643.13421      -0.558     0006e-0000e  456 
R 12      12643.44985      12643.45077      -0.915     0006e-0000e  456 
R 13      12643.72705      12643.72719      -0.141     0006e-0000e  456 
R 14      12643.96305      12643.96349      -0.436     0006e-0000e  456 
R 15      12644.16075      12644.15965       1.095     0006e-0000e  456 
R 16      12644.31505      12644.31570      -0.653     0006e-0000e  456 
R 17      12644.43175      12644.43164       0.111     0006e-0000e  456 
R 18      12644.50605      12644.50747      -1.424     0006e-0000e  456 
R 21      12644.49215      12644.49455      -2.398     0006e-0000e  456 
R 22      12644.41025      12644.41017       0.077     0006e-0000e  456 
R 23      12644.28595      12644.28582       0.134     0006e-0000e  456 
R 24      12644.12235      12644.12152       0.833     0006e-0000e  456 
R 25      12643.91845      12643.91732       1.130     0006e-0000e  456 
R 26      12643.67445      12643.67328       1.173     0006e-0000e  456 
R 27      12643.38955      12643.38945       0.101     0006e-0000e  456 
R 28      12643.06685      12643.06590       0.947     0006e-0000e  456 
R 29      12642.70305      12642.70271       0.336     0006e-0000e  456 
R 30      12642.29955      12642.29997      -0.419     0006e-0000e  456 
R 31      12641.85685      12641.85776      -0.913     0006e-0000e  456 
R 32      12641.37435      12641.37620      -1.851     0006e-0000e  456 
R 33      12640.85395      12640.85540      -1.451     0006e-0000e  456 
R 34      12640.29405      12640.29549      -1.442     0006e-0000e  456 
R 35      12639.69655      12639.69662      -0.066     0006e-0000e  456 
R 36      12639.06015      12639.05893       1.221     0006e-0000e  456 
R 37      12638.38745      12638.38260       4.851    0006e-0000e  456
R 38      12637.67875      12637.66781      10.937    0006e-0000e  456
R 39      12636.94045      12636.91477      25.679    0006e-0000e  456
R 40      12636.17585      12636.12369      52.160    0006e-0000e  456
R 41      12635.36905      12635.29481      74.243    0006e-0000e  456
R 42      12634.65445      12634.42837     226.076    0006e-0000e  456
R 43      12633.99085      12633.52467     466.184    0006e-0000e  456
R 44      12632.92565      12632.58398     341.673    0006e-0000e  456
R 45      12632.14305      12631.60662     536.429    0006e-0000e  456
R 46      12631.23365      12630.59294     640.712    0006e-0000e  456
R 47      12630.25205      12629.54329     708.763    0006e-0000e  456
R 48      12629.21185      12628.45805     753.795    0006e-0000e  456
R 49      12628.12936      12627.33765     791.708    0006e-0000e  456
R 50      12627.00495      12626.18252     822.433    0006e-0000e  456
R 51      12625.84891      12624.99312     855.795    0006e-0000e  456
R 52      12624.66495      12623.76994     895.010    0006e-0000e  456       
R  2      12557.96500      12557.96088        4.123   0116e-0110e  456
R  3      12558.65060      12558.64211        8.492   0116e-0110e  456
R  4      12559.29200      12559.28410        7.899   0116e-0110e  456
R  5      12559.89540      12559.88686        8.535   0116e-0110e  456
R  6      12560.46290      12560.45041       12.488   0116e-0110e  456
R  7      12560.98310      12560.97476        8.344   0116e-0110e  456
R  8      12561.45150      12561.45991       -8.414   0116e-0110e  456
R  9      12561.90940      12561.90591        3.494   0116e-0110e  456
R 10      12562.31550      12562.31275        2.747   0116e-0110e  456
R 11      12562.68330      12562.68048        2.820   0116e-0110e  456
R 12      12563.00990      12563.00912        0.785    0116e-0110e  456  
R 13      12563.29550      12563.29869       -3.188   0116e-0110e  456
R 14      12563.54490      12563.54923       -4.332   0116e-0110e  456
R 15      12563.75560      12563.76078       -5.181   0116e-0110e  456
R 16      12563.92710      12563.93337       -6.274   0116e-0110e  456
R 17      12564.06130      12564.06705       -5.751   0116e-0110e  456
R 18      12564.15840      12564.16186       -3.456   0116e-0110e  456
R 19      12564.21360      12564.21783       -4.234   0116e-0110e  456
R 20      12564.23260      12564.23503       -2.434   0116e-0110e  456
R 21      12564.21360      12564.21351        0.092   0116e-0110e  456
R 22      12564.15840      12564.15331        5.092   0116e-0110e  456
R 23      12564.06130      12564.05449        6.808   0116e-0110e  456
R 24      12563.92710      12563.91712        9.981   0116e-0110e  456
R 25      12563.75560      12563.74125       14.350   0116e-0110e  456
R 26      12563.54490      12563.52695       17.951   0116e-0110e  456
R 27      12563.29950      12563.27428       25.215   0116e-0110e  456
R 28      12563.00990      12562.98333       26.575   0116e-0110e  456
R 29      12562.68330      12562.65414       29.156   0116e-0110e  456
R 30      12562.33280      12562.28681       45.985   0116e-0110e  456
P  2      12553.95720      12553.96603       -8.834   0116e-0110e  456
P  3      12553.05050      12553.04934        1.161    0116e-0110e  456  
P  4      12552.09510      12552.09342        1.682    0116e-0110e  456  
P  5      12551.09760      12551.09828       -0.682    0116e-0110e  456  
P  6      12550.06210      12550.06395       -1.848    0116e-0110e  456  
P  7      12548.98860      12548.99043       -1.832    0116e-0110e  456  
P  8      12547.87930      12547.87776        1.545    0116e-0110e  456  
P  9      12546.72910      12546.72594        3.160   0116e-0110e  456
P 10      12545.53280      12545.53501       -2.211   0116e-0110e  456
P 11      12544.30490      12544.30500       -0.096    0116e-0110e  456  
P 12      12543.03410      12543.03593       -1.828    0116e-0110e  456  
P 13      12541.72800      12541.72784        0.162    0116e-0110e  456  
P 14      12540.38120      12540.38076        0.437    0116e-0110e  456  
P 15      12538.99660      12538.99474        1.858    0116e-0110e  456  
P 16      12537.57000      12537.56982        0.184    0116e-0110e  456  
P 17      12536.10400      12536.10603       -2.028    0116e-0110e  456  
P 18      12534.60420      12534.60342        0.775    0116e-0110e  456  
P 19      12533.06120      12533.06206       -0.857    0116e-0110e  456  
P 20      12531.48280      12531.48197        0.826    0116e-0110e  456  
P 21      12529.86310      12529.86323       -0.133    0116e-0110e  456  
P 22      12528.20640      12528.20589        0.511    0116e-0110e  456  
P 23      12526.50850      12526.51000       -1.503    0116e-0110e  456  
P 24      12524.77620      12524.77564        0.564    0116e-0110e  456  
P 25      12523.00370      12523.00285        0.845    0116e-0110e  456  
P 26      12521.19120      12521.19173       -0.526    0116e-0110e  456  
P 27      12519.34820      12519.34232        5.880   0116e-0110e  456
P 28      12517.46970      12517.45471       14.990   0116e-0110e  456
P 29      12515.54810      12515.52897       19.129   0116e-0110e  456
P 30      12513.59020      12513.56518       25.018   0116e-0110e  456
P 31      12511.59860      12511.56342       35.176   0116e-0110e  456
P 32      12509.57040      12509.52378       46.621   0116e-0110e  456
P 32      12509.65280      12509.58565       67.155   0116f-0110f  456
P 31      12511.65480      12511.60868       46.124   0116f-0110f  456
P 30      12513.62580      12513.59590       29.903   0116f-0110f  456
P 29      12515.56890      12515.54708       21.822   0116f-0110f  456
P 28      12517.46970      12517.46200        7.704   0116f-0110f  456
P 27      12519.34820      12519.34044        7.764   0116f-0110f  456
P 26      12521.18220      12521.18219        0.007    0116f-0110f  456  
P 25      12522.98970      12522.98706        2.635    0116f-0110f  456  
P 24      12524.75360      12524.75486       -1.260    0116f-0110f  456  
P 23      12526.48250      12526.48539       -2.894    0116f-0110f  456  
P 22      12528.17750      12528.17849       -0.990    0116f-0110f  456  
P 21      12529.83380      12529.83398       -0.178    0116f-0110f  456  
P 20      12531.45270      12531.45170        1.004    0116f-0110f  456  
P 19      12533.03580      12533.03149        4.312    0116f-0110f  456  
P 18      12534.57090      12534.57321       -2.309    0116f-0110f  456  
P 17      12536.07620      12536.07672       -0.518    0116f-0110f  456  
P 16      12537.54200      12537.54188        0.116    0116f-0110f  456  
P 15      12538.96980      12538.96858        1.219    0116f-0110f  456  
P 14      12540.35590      12540.35669       -0.793    0116f-0110f  456  
P 13      12541.70640      12541.70611        0.289    0116f-0110f  456  
P 12      12543.01700      12543.01673        0.269    0116f-0110f  456  
P 11      12544.28580      12544.28846       -2.660    0116f-0110f  456  
P  8      12547.87930      12547.86947        9.833   0116f-0110f  456
P  7      12548.98860      12548.98484        3.764    0116f-0110f  456  
P  6      12550.06210      12550.06095        1.147    0116f-0110f  456  
P  5      12551.09760      12551.09777       -0.171    0116f-0110f  456  
P  4      12552.09510      12552.09525       -0.145    0116f-0110f  456  
P  3      12553.05050      12553.05334       -2.843    0116f-0110f  456  
P  2      12553.95720      12553.97204      -14.838   0116f-0110f  456
R  2      12557.96760      12557.97404       -6.441   0116f-0110f  456
R  3      12558.65060      12558.65617       -5.570   0116f-0110f  456
R  4      12559.29200      12559.29892       -6.919   0116f-0110f  456
R  5      12559.89540      12559.90232       -6.919   0116f-0110f  456
R  6      12560.46290      12560.46641       -3.512   0116f-0110f  456
R  7      12560.98310      12560.99125       -8.147   0116f-0110f  456
R  8      12561.48390      12561.47688        7.022   0116f-0110f  456
R  9      12561.90940      12561.92337      -13.970   0116f-0110f  456
R 10      12562.31550      12562.33079      -15.293   0116f-0110f  456
R 11      12562.68330      12562.69923      -15.925   0116f-0110f  456
R 12      12563.00990      12563.02875      -18.853   0116f-0110f  456
R 13      12563.29550      12563.31947      -23.970   0116f-0110f  456
R 14      12563.54490      12563.57148      -26.577   0116f-0110f  456
R 15      12563.75560      12563.78488      -29.282   0116f-0110f  456
R 16      12563.92710      12563.95980      -32.701   0116f-0110f  456
R 17      12564.06130      12564.09636      -35.058   0116f-0110f  456
R 18      12564.15840      12564.19468      -36.284   0116f-0110f  456
R 19      12564.21360      12564.25492      -41.317   0116f-0110f  456
R 20      12564.23260      12564.27720      -44.603   0116f-0110f  456
R 21      12564.21360      12564.26170      -48.096   0116f-0110f  456
R 22      12564.15840      12564.20856      -50.156   0116f-0110f  456
R 23      12564.06130      12564.11795      -56.653   0116f-0110f  456
R 24      12563.92710      12563.99006      -62.963   0116f-0110f  456
R 25      12563.75560      12563.82507      -69.469   0116f-0110f  456
R 26      12563.54490      12563.62316      -78.261   0116f-0110f  456
R 27      12563.29550      12563.38454      -89.040   0116f-0110f  456
R 28      12563.00990      12563.10941      -99.511   0116f-0110f  456
R 29      12562.68330      12562.79799     -114.687   0116f-0110f  456
R 30      12562.33280      12562.45049     -117.690   0116f-0110f  456
R 32      12561.48390      12561.64820     -164.299   0116f-0110f  456
P 46      12688.03886      12687.97920       59.657   0006e-0000e  546                                   
P 45      12690.57310      12690.53685       36.249   0006e-0000e  546
P 43      12695.55462      12695.54994        4.678   0006e-0000e  546
P 42      12698.00734      12698.00421        3.128   0006e-0000e  546
P 41      12700.42277      12700.42292       -0.151    0006e-0000e  546  
P 40      12702.80645      12702.80559        0.860    0006e-0000e  546  
P 39      12705.15081      12705.15178       -0.965    0006e-0000e  546  
P 37      12709.73269      12709.73311       -0.422    0006e-0000e  546  
P 35      12714.16398      12714.16410       -0.117    0006e-0000e  546  
P 34      12716.32201      12716.32246       -0.449    0006e-0000e  546  
P 33      12718.44326      12718.44239        0.868    0006e-0000e  546  
P 32      12720.52413      12720.52367        0.458    0006e-0000e  546  
P 31      12722.56570      12722.56610       -0.399    0006e-0000e  546  
P 30      12724.56972      12724.56950        0.224    0006e-0000e  546  
P 29      12726.53257      12726.53371       -1.136    0006e-0000e  546  
P 28      12728.45729      12728.45859       -1.303    0006e-0000e  546  
P 27      12730.34223      12730.34404       -1.808    0006e-0000e  546  
P 26      12732.18867      12732.18994       -1.267    0006e-0000e  546  
P 25      12733.99488      12733.99620       -1.323    0006e-0000e  546  
P 24      12735.76085      12735.76276       -1.914   0006e-0000e  546
P 23      12737.48782      12737.48956       -1.739    0006e-0000e  546  
P 22      12739.17560      12739.17654       -0.937    0006e-0000e  546  
P 21      12740.82267      12740.82366       -0.991    0006e-0000e  546  
P 20      12742.43247      12742.43090        1.571    0006e-0000e  546  
P 19      12743.99943      12743.99823        1.199    0006e-0000e  546  
P 18      12745.52737      12745.52564        1.728   0006e-0000e  546
P 17      12747.01191      12747.01312       -1.212    0006e-0000e  546  
P 16      12748.45985      12748.46067       -0.820    0006e-0000e  546  
P 15      12749.87050      12749.86829        2.215   0006e-0000e  546
P 14      12751.23451      12751.23597       -1.463    0006e-0000e  546  
P 13      12752.56322      12752.56374       -0.521    0006e-0000e  546  
P 12      12753.85072      12753.85160       -0.878    0006e-0000e  546  
P 11      12755.09659      12755.09956       -2.967   0006e-0000e  546
P 10      12756.30327      12756.30763       -4.358   0006e-0000e  546
P  9      12757.47142      12757.47582       -4.403   0006e-0000e  546
P  8      12758.60031      12758.60416       -3.846   0006e-0000e  546
P  7      12759.69364      12759.69264        1.002    0006e-0000e  546  
P  6      12760.73981      12760.74128       -1.468    0006e-0000e  546  
P  5      12761.74778      12761.75009       -2.306   0006e-0000e  546
P  4      12762.71551      12762.71907       -3.559   0006e-0000e  546
P  3      12763.64435      12763.64823       -3.883   0006e-0000e  546
P  2      12764.53716      12764.53758       -0.420    0006e-0000e  546  
P  1      12765.38645      12765.38711       -0.663    0006e-0000e  546  
R  0      12766.96591      12766.96672       -0.812    0006e-0000e  546  
R  1      12767.69571      12767.69679       -1.080    0006e-0000e  546  
R  2      12768.38682      12768.38702       -0.201    0006e-0000e  546  
R  3      12769.03835      12769.03741        0.945    0006e-0000e  546  
R  4      12769.64669      12769.64793       -1.239    0006e-0000e  546  
R  5      12770.22081      12770.21858        2.233   0006e-0000e  546
R  6      12770.75097      12770.74933        1.637   0006e-0000e  546
R  7      12771.24107      12771.24018        0.891    0006e-0000e  546  
R  8      12771.69200      12771.69109        0.906    0006e-0000e  546  
R  9      12772.10371      12772.10206        1.650    0006e-0000e  546  
R 10      12772.47387      12772.47305        0.815    0006e-0000e  546  
R 11      12772.80561      12772.80406        1.550    0006e-0000e  546  
R 12      12773.09695      12773.09506        1.893    0006e-0000e  546  
R 13      12773.34693      12773.34603        0.903    0006e-0000e  546  
R 14      12773.55785      12773.55696        0.894    0006e-0000e  546  
R 15      12773.72831      12773.72783        0.480    0006e-0000e  546  
R 16      12773.85916      12773.85864        0.518    0006e-0000e  546  
R 17      12773.94972      12773.94939        0.335    0006e-0000e  546  
R 18      12774.00496      12774.00006        4.898   0006e-0000e  546
R 21      12773.91099      12773.91179       -0.805    0006e-0000e  546  
R 22      12773.80240      12773.80235        0.052    0006e-0000e  546  
R 23      12773.65359      12773.65295        0.639    0006e-0000e  546  
R 24      12773.46425      12773.46365        0.596    0006e-0000e  546  
R 25      12773.23576      12773.23453        1.234    0006e-0000e  546  
R 26      12772.96642      12772.96564        0.777    0006e-0000e  546  
R 27      12772.65933      12772.65710        2.227   0006e-0000e  546
R 29      12771.92307      12771.92151        1.562    0006e-0000e  546  
R 30      12771.49733      12771.49473        2.597   0006e-0000e  546
R 31      12771.03038      12771.02886        1.523    0006e-0000e  546  
R 32      12770.52602      12770.52407        1.946   0006e-0000e  546
R 33      12769.98051      12769.98060       -0.090    0006e-0000e  546  
R 34      12769.39967      12769.39868        0.994    0006e-0000e  546  
R 35      12768.77935      12768.77857        0.779    0006e-0000e  546  
R 36      12768.12028      12768.12059       -0.306    0006e-0000e  546  
R 37      12767.42390      12767.42505       -1.148    0006e-0000e  546  
R 38      12766.69142      12766.69232       -0.902    0006e-0000e  546  
R 39      12765.92372      12765.92280        0.916    0006e-0000e  546  
R 40      12765.11942      12765.11693        2.492   0006e-0000e  546
R 41      12764.28042      12764.27517        5.252   0006e-0000e  546
R 42      12763.41143      12763.39804       13.392   0006e-0000e  546
R 43      12762.51542      12762.48609       29.326   0006e-0000e  546
R 44      12761.59861      12761.53994       58.672   0006e-0000e  546
R 45      12760.66400      12760.56022      103.779   0006e-0000e  546
