12L3Euablce   B    j        T                 U        O
1003e-0000e  P   1  7649.91600     0.23   456     
1003e-0000e  P   2  7649.05510     1.05   456     
1003e-0000e  P   3  7648.16890     0.32   456     
1003e-0000e  R   0  7651.57260     4.67 * 456
1003e-0000e  R   3  7653.86820     0.25   456     
1003e-0000e  R   4  7654.58620    -0.88   456     
1003e-0000e  R   5  7655.28220    -0.23   456     
1003e-0000e  R   6  7655.95430     0.30   456     
1003e-0000e  R   7  7656.60180     0.02   456     
1003e-0000e  R   8  7657.22550    -0.27   456     
1003e-0000e  R   9  7657.82650     0.54   456     
1003e-0000e  R  10  7658.40240     0.04   456     
1003e-0000e  R  11  7658.95530     0.35   456     
1003e-0000e  R  12  7659.48400     0.26   456     
1003e-0000e  R  14  7660.47020     0.31   456     
1003e-0000e  R  15  7660.92720    -0.04   456     
1003e-0000e  R  16  7661.35970    -1.07   456     
1003e-0000e  R  17  7661.76880    -1.67   456     
1003e-0000e  R  18  7662.15650     0.14   456     
1003e-0000e  R  19  7662.51740    -1.01   456     
1003e-0000e  R  20  7662.85680     0.17   456     
1003e-0000e  R  21  7663.17030    -0.71   456     
1003e-0000e  R  22  7663.46290     1.34   456     
1003e-0000e  R  23  7663.72800    -0.27   456     
1003e-0000e  R  24  7663.97170     0.56   456     
1003e-0000e  R  25  7664.18910    -1.06   456     
1003e-0000e  R  26  7664.38490    -0.43   456     
1003e-0000e  R  27  7664.55720     0.54   456     
1003e-0000e  R  28  7664.70390    -0.23   456     
1003e-0000e  R  29  7664.82750    -0.26   456     
1003e-0000e  R  30  7664.92730    -0.23   456     
1003e-0000e  R  31  7665.00380     0.36   456     
1003e-0000e  R  32  7665.05690     1.40   456     
1003e-0000e  R  33  7665.08590     2.20 * 456
1003e-0000e  R  36  7665.02540     0.24   456     
1003e-0000e  R  39  7664.75200     0.09   456     
1003e-0000e  R  40  7664.61390     0.79   456     
1003e-0000e  R  42  7664.26140    -2.56 * 456
1003e-0000e  R  43  7664.04480    -8.81 * 456
1003e-0000e  R  44  7663.81970     0.28   456     
1003e-0000e  R  46  7663.28000     0.50   456     
1003e-0000e  R  47  7662.97680     3.01 * 456
1003e-0000e  R  48  7662.64250    -1.74   456     
1003e-0000e  R  50  7661.91210    -1.57   456     
1003e-0000e  R  51  7661.51340     0.75   456     
1003e-0000e  R  54  7660.16760     0.83   456     
2202e-0000e  P  01  7879.55000     2.09   456     
2202e-0000e  P  02  7878.69400     2.48   456     
2202e-0000e  P  04  7876.92200    -1.49   456     
2202e-0000e  P  05  7876.00900    -2.83   456     
2202e-0000e  P  06  7875.08100    -0.74   456     
2202e-0000e  P  07  7874.13500     1.81   456     
2202e-0000e  P  09  7872.18100     0.31   456     
2202e-0000e  P  10  7871.17700     0.30   456     
2202e-0000e  P  11  7870.15400    -0.19   456     
2202e-0000e  P  12  7869.11400     0.87   456     
2202e-0000e  P  13  7868.05300    -0.50   456     
2202e-0000e  P  15  7865.87800    -0.43   456     
2202e-0000e  P  16  7864.76300     0.06   456     
2202e-0000e  P  17  7863.62800    -0.77   456     
2202e-0000e  P  18  7862.47600     0.09   456     
2202e-0000e  P  19  7861.30500     0.67   456     
2202e-0000e  P  23  7856.43000    -0.46   456     
2202e-0000e  P  25  7853.88100     0.13   456     
2202e-0000e  P  28  7849.92000     4.25 * 456
2202e-0000e  P  29  7848.55700     0.38   456     
2202e-0000e  P  30  7847.17700    -1.84   456     
2202e-0000e  P  32  7844.36600    -1.57   456     
2202e-0000e  P  34  7841.48400     1.41   456     
2202e-0000e  R  01  7882.00600    -0.51   456     
2202e-0000e  R  02  7882.79100     1.83   456     
2202e-0000e  R  03  7883.55100    -2.37   456     
2202e-0000e  R  06  7885.73400    -1.03   456     
2202e-0000e  R  07  7886.42600     0.80   456     
2202e-0000e  R  09  7887.75000     0.22   456     
2202e-0000e  R  10  7888.38400    -0.14   456     
2202e-0000e  R  13  7890.17400    -1.06   456     
2202e-0000e  R  15  7891.27500    -0.22   456     
2202e-0000e  R  16  7891.79700    -0.06   456     
2202e-0000e  R  18  7892.78300    -1.11   456     
2202e-0000e  R  19  7893.25000     0.73   456     
2202e-0000e  R  20  7893.69600     0.52   456     
2202e-0000e  R  21  7894.11800    -4.73 * 456
2202e-0000e  R  23  7894.92200     1.69   456     
2202e-0000e  R  24  7895.29000    -0.64   456     
2202e-0000e  R  25  7895.64400     2.01   456     
2202e-0000e  R  26  7895.97500     0.61   456     
2202e-0000e  R  27  7896.28700    -0.86   456     
2202e-0000e  R  29  7896.85800    -0.19   456     
