u      12L3Euablce	Bj     T			U			 u                              O	
456	15111-01101	P02	5792.997695	3.9641E-28	5793.00330		 -5.6													
456	15111-01101	P03	5792.137049	6.4542E-28	5792.14230		 -5.3													
456	15111-01101	P04	5791.266187	1.9853E-27	5791.26950		 -3.3		 blended				
456	15111-01101	P05	5790.378742	1.1642E-27	5790.38480		 -6.1							
456	15111-01101	P06	5789.482815	5.7738E-28	5789.48790		 -5.1							
456	15111-01101	P07	5788.573558	6.3064E-28	5788.57840		 -4.8							
456	15111-01101	P08	5787.650564	7.1625E-28	5787.65610		 -5.5							
456	15111-01101	P09	5786.716251	8.6309E-28	5786.72070		 -4.4							
456	15111-01101	P10	5785.767396	7.3092E-28	5785.77220		 -4.8							
456	15111-01101	P11	5784.805913	8.3283E-28	5784.81030		 -4.4							
456	15111-01101	P12	5783.830743	8.8602E-28	5783.83490		 -4.2							
456	15111-01101	P13	5782.838886	2.7461E-27	5782.84610		 -7.2		 blended				
456	15111-01101	P14	5781.840305	1.0768E-27	5781.84370		 -3.4								
456	15111-01101	P15	5780.824649	1.2607E-27	5780.82790		 -3.3													
456	15111-01101	P16	5779.795679	9.0479E-28	5779.79860		 -2.9													
456	15111-01101	P17	5778.752964	1.0836E-27	5778.75590		 -2.9													
456	15111-01101	P23	5772.214556	8.3998E-28	5772.21810		 -3.5													
456	15111-01101	P24	5771.079412	5.7771E-28	5771.08180		 -2.4													
456	15111-01101	P25	5769.929868	6.6157E-28	5769.93220		 -2.3													
456	15111-01101	P26	5768.765516	6.9025E-28	5768.76920		 -3.7													
456	15111-01101	P27	5767.589772	6.8099E-28	5767.59290		 -3.1													
456	15111-01101	P29	5765.198120	6.5777E-28	5765.20050		 -2.4													
456	15111-01101	P30	5763.981270	4.3279E-28	5763.98420		 -2.9													
456	15111-01101	P31	5762.753067	8.4169E-28	5762.75470		 -1.6													
456	15111-01101	P32	5761.507540	4.8659E-28	5761.51180		 -4.3													
456	15111-01101	P33	5760.252622	3.1034E-28	5760.25560		 -3.0													
456	15111-01101	P35	5757.698346	6.9232E-28	5757.70320		 -4.9													
456	15111-01101	P36	5756.404822	3.8224E-28	5756.40690		 -2.1													
456	15111-01101	P37	5755.093126	2.0672E-28	5755.09720		 -4.1													
456	15111-01101	P38	5753.773359	4.1000E-28	5753.77410		 -0.7													
456	15111-01101	P39	5752.434823	1.2194E-28	5752.43760		 -2.8													
456	15111-01101	P40	5751.085573	1.5740E-28	5751.08770		 -2.1													
456	15111-01101	P42	5748.343382	1.5144E-28	5748.34750		 -4.1																									
456	15111-01101	R02	5797.131563	3.0128E-28	5797.13690		 -5.3													
456	15111-01101	R03	5797.923686	3.1537E-28	5797.92860		 -4.9													
456	15111-01101	R05	5799.469481	5.6599E-28	5799.47480		 -5.3													
456	15111-01101	R06	5800.225467	1.1818E-27	5800.22870		 -3.2													
456	15111-01101	R08	5801.690437	1.6020E-27	5801.69700		 -6.6		 blended							
456	15111-01101	R09	5802.406714	8.2048E-28	5802.41110		 -4.4												
456	15111-01101	R10	5803.107629	9.6093E-28	5803.11170		 -4.1												
456	15111-01101	R11	5803.794583	1.2229E-27	5803.79870		 -4.1												
456	15111-01101	R12	5804.468183	1.0244E-27	5804.47200		 -3.8												
456	15111-01101	R14	5805.774481	9.9928E-28	5805.77800		 -3.5												
456	15111-01101	R15	5806.407144	1.0652E-27	5806.41060		 -3.5												
456	15111-01101	R16	5807.026154	1.1021E-27	5807.02960		 -3.4												
456	15111-01101	R18	5808.222961	1.2136E-27	5808.22700		 -4.0												
456	15111-01101	R19	5808.801857	9.9944E-28	5808.80540		 -3.5												
456	15111-01101	R20	5809.367248	1.1000E-27	5809.37020		 -3.0												
456	15111-01101	R21	5809.919419	1.1579E-27	5809.92160		 -2.2												
456	15111-01101	R25	5811.989677	8.0048E-28	5811.99180		 -2.1												
456	15111-01101	R28	5813.400683	6.0908E-28	5813.40230		 -1.6												
456	15111-01101	R29	5813.843044	6.4915E-28	5813.84540		 -2.4												
456	15111-01101	R30	5814.273338	4.5106E-28	5814.27480		 -1.5												
456	15111-01101	R31	5814.688171	5.0334E-28	5814.69070		 -2.5												
456	15111-01101	R34	5815.855185	4.1980E-28	5815.85630		 -1.1												
456	15111-01101	R35	5816.212195	9.2695E-28	5816.21750		 -5.3												
