12L3Euablce	Bj	T
0004e-0000e	P01	8537.67 
0004e-0000e	P02	8536.81 
0004e-0000e	P03	8535.92 
0004e-0000e	P04	8535.00 
0004e-0000e	P05	8534.05 
0004e-0000e	P06	8533.08 
0004e-0000e	P07	8532.08 
0004e-0000e	P08	8531.06 
0004e-0000e	P09	8530.01 
0004e-0000e	P10	8528.93 
0004e-0000e	P11	8527.82 
0004e-0000e	P12	8526.69 
0004e-0000e	P13	8525.53 
0004e-0000e	P14	8524.35 
0004e-0000e	P15	8523.14 
0004e-0000e	P16	8521.90 
0004e-0000e	P17	8520.64 
0004e-0000e	P18	8519.34 
0004e-0000e	P19	8518.03 
0004e-0000e	P20	8516.68 
0004e-0000e	P21	8515.31 
0004e-0000e	P22	8513.91 
0004e-0000e	P23	8512.49 
0004e-0000e	P24	8511.04 
0004e-0000e	P25	8509.56 
0004e-0000e	P26	8508.05 
0004e-0000e	P27	8506.52 
0004e-0000e	P28	8504.97 
0004e-0000e	P29	8503.38 
0004e-0000e	P30	8501.77 
0004e-0000e	P31	8500.13 
0004e-0000e	P32	8498.47 
0004e-0000e	P33	8496.78 
0004e-0000e	P34	8495.06 
0004e-0000e	P35	8493.32 
0004e-0000e	P36	8491.55 
0004e-0000e	P39	8486.08 
0004e-0000e	P41	8482.30 
0004e-0000e	P42	8480.37 
0004e-0000e	P43	8478.42 
0004e-0000e	P44	8476.43 
0004e-0000e	P45	8474.42 
0004e-0000e	P46	8472.39 
0004e-0000e	P47	8470.33 
0004e-0000e	P48	8468.24 
0004e-0000e	P50	8463.99 
0004e-0000e	P52	8459.63 
0004e-0000e	P53	8457.40 
0004e-0000e	P54	8455.16 
0004e-0000e	P55	8452.88 
0004e-0000e	P58	8445.91 
0004e-0000e	R00	8539.32 
0004e-0000e	R01	8540.11 
0004e-0000e	R02	8540.86 
0004e-0000e	R03	8541.60 
0004e-0000e	R04	8542.30 
0004e-0000e	R05	8542.98 
0004e-0000e	R06	8543.63 
0004e-0000e	R07	8544.25 
0004e-0000e	R08	8544.85 
0004e-0000e	R09	8545.42 
0004e-0000e	R10	8545.96 
0004e-0000e	R11	8546.48 
0004e-0000e	R12	8546.97 
0004e-0000e	R13	8547.43 
0004e-0000e	R14	8547.87 
0004e-0000e	R15	8548.28 
0004e-0000e	R16	8548.66 
0004e-0000e	R17	8549.02 
0004e-0000e	R18	8549.35 
0004e-0000e	R19	8549.65 
0004e-0000e	R20	8549.93 
0004e-0000e	R21	8550.18 
0004e-0000e	R22	8550.40 
0004e-0000e	R23	8550.60 
0004e-0000e	R24	8550.77 
0004e-0000e	R25	8550.91 
0004e-0000e	R26	8551.02 
0004e-0000e	R27	8551.11 
0004e-0000e	R28	8551.17 
0004e-0000e	R31	8551.20 
0004e-0000e	R32	8551.15 
0004e-0000e	R33	8551.08 
0004e-0000e	R34	8550.98 
0004e-0000e	R35	8550.85 
0004e-0000e	R37	8550.52 
0004e-0000e	R38	8550.32 
0004e-0000e	R39	8550.08 
0004e-0000e	R40	8549.82 
0004e-0000e	R41	8549.53 
0004e-0000e	R42	8549.22 
0004e-0000e	R43	8548.88 
0004e-0000e	R44	8548.51 
0004e-0000e	R45	8548.12 
0004e-0000e	R46	8547.70 
0004e-0000e	R47	8547.25 
0004e-0000e	R48	8546.77 
0004e-0000e	R52	8544.60 
0004e-0000e	R53	8543.99 
0004e-0000e	R54	8543.36 
0004e-0000e	R55	8542.70 
0004e-0000e	R57	8541.29 
0004e-0000e	R58	8540.54 
0004e-0000e	R59	8539.77 
0004e-0000e	R60	8538.97 
0114e-0110e	P02	8482.85 
