12L3Euablce	B j	T												
5200e-0000e   	P 04    7380.65691												
5200e-0000e	P 08	7377.038544												
5200e-0000e	P 11	7374.19869												
5200e-0000e	P 12	7373.228489												
5200e-0000e	P 14	7371.24963												
5200e-0000e	P 15	7370.243243												
5200e-0000e	P 18	7367.141762												
5200e-0000e	P 19	7366.084364												
5200e-0000e	P 21	7363.927561												
5200e-0000e	P 22	7362.831842												
5200e-0000e	P 24	7360.595483												
5200e-0000e	P 26	7358.308027												
5200e-0000e	P 32	7351.10891												
5200e-0000e	R 03	7387.309607												
5200e-0000e	R 04	7388.088281												
5200e-0000e	R 06	7389.610424												
5200e-0000e	R 08	7391.077627												
5200e-0000e	R 10	7392.49969												
5200e-0000e	R 11	7393.194321												
5200e-0000e	R 14	7395.191392												
5200e-0000e	R 15	7395.83384												
5200e-0000e	R 20	7398.848201												
5200e-0000e	R 22	7399.958825												
5200e-0000e	R 23	7400.49712												
5200e-0000e	R 25	7401.528598												
5200e-0000e	R 29	7403.418569												
5200e-0000e	R 30	7403.856803												
5200e-0000e	R 31	7404.279437												
5200e-0000e	R 34	7405.459103												
5200e-0000e	R 37	7406.495854												
5200e-0000e	R 39	7407.112057												
5200e-0000e	R 40	7407.400521												
5200e-0000e	R 46	7408.76803												
6000e-0000e   	P 02    7490.428248												
6000e-0000e	P 04	7488.666898												
6000e-0000e	P 05	7487.761102												
6000e-0000e	P 06	7486.838695												
6000e-0000e	P 07	7485.897996												
6000e-0000e	P 08	7484.939978												
6000e-0000e	P 10	7482.973058												
6000e-0000e	P 12	7480.938711												
6000e-0000e	P 13	7479.895739												
6000e-0000e	P 15	7477.757866												
6000e-0000e	P 17	7475.550828												
6000e-0000e	P 19	7473.275496												
6000e-0000e	P 20	7472.113439												
6000e-0000e	P 22	7469.733697												
6000e-0000e	P 23	7468.518814												
6000e-0000e	P 24	7467.285541												
6000e-0000e	P 25	7466.037202												
6000e-0000e	P 26	7464.768263												
6000e-0000e	P 27	7463.482353												
